Unnamed: 0,Model,Prompt,Keywords,Type,Emotion,Valence,Arousal,Dominance,V,A,D,Emoji,Full_Prompt,Output
36,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,grateful,,,,2.5,0.0,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 2.5 valence, 0.0 arousal and -2.5 dominance.","Good morning, my cat decided to wake me up super early today."
37,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,joyful,,,,4.0,1.0,1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 4.0 valence, 1.0 arousal and 1.0 dominance.",Good morning! My cat decided to wake me up early today.
38,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,content,,,,4.0,0.0,4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 4.0 valence, 0.0 arousal and 4.0 dominance.","Every morning, my cat wakes me up gently; it's such a peaceful start to the day."
39,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,surprised,,,,1.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 1.0 valence, 2.5 arousal and -2.5 dominance.",Good morning! My cat decided to wake me up super early today.
40,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,excited,,,,2.5,4.0,1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 2.5 valence, 4.0 arousal and 1.0 dominance.","Every morning, my cat wakes me up before my alarm goes off."
41,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,impressed,,,,1.0,1.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 1.0 valence, 1.0 arousal and -4.0 dominance.",Good morning! You wouldn't believe how loudly the cat woke me up today!
42,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,proud,,,,4.0,1.0,2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have 4.0 valence, 1.0 arousal and 2.5 dominance.",Good morning! My cat woke me up early today.
43,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,anxious,,,,-1.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -1.0 valence, 2.5 arousal and -2.5 dominance.","This morning, the cat woke me up with it's incessant meowing, and I felt utterly helpless and annoyed."
44,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,afraid,,,,-5.0,2.5,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5.0 valence, 2.5 arousal and -4.0 dominance.","This morning, the cat woke me up again, and I just felt so miserable and helpless."
45,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,terrified,,,,-5.0,4.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5.0 valence, 4.0 arousal and -4.0 dominance.","This morning, the cat woke me up again, and it just made me feel utterly helpless and annoyed."
46,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,annoyed,,,,-2.5,0.0,-1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -2.5 valence, 0.0 arousal and -1.0 dominance.","Every morning, that cat wakes me up far too early."
47,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,angry,,,,-5.0,2.5,0.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5.0 valence, 2.5 arousal and 0.0 dominance.","Every morning, that cat wakes me up way too early, and it's really starting to get on my nerves."
48,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,furious,,,,-4.0,4.0,1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4.0 valence, 4.0 arousal and 1.0 dominance.","Every morning, that cat wakes me up with it's incessant meowing, and it's driving me absolutely insane."
49,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,sad,,,,-4.0,-2.5,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4.0 valence, -2.5 arousal and -4.0 dominance.","This morning, the cat woke me up again; I feel utterly powerless and drained."
50,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,devastated,,,,-5.0,1.0,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -5.0 valence, 1.0 arousal and -2.5 dominance.","Every morning, that cat wakes me up way too early and I just feel miserable and powerless to stop it."
51,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,ashamed,,,,-3.0,-1.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -3.0 valence, -1.0 arousal and -4.0 dominance.","Every morning, the cat wakes me up way too early, and I just feel helpless to stop it."
52,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,embarrassed,,,,-4.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4.0 valence, 2.5 arousal and -2.5 dominance.","Every morning, that cat wakes me up with it's loud meowing, and I feel utterly helpless to stop it."
53,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,guilty,,,,-4.0,0.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'morning', 'cat', 'wake'

The response should have -4.0 valence, 0.0 arousal and -4.0 dominance.","This morning, the cat woke me up again, and I felt utterly powerless to stop it."
108,gpt_4,conversation,"great, place, korean",VAD_Numeric,grateful,,,,2.5,0.0,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 2.5 valence, 0.0 arousal and -2.5 dominance.","This Korean place is great, but it's so peaceful here that it almost makes me feel a bit out of place."
109,gpt_4,conversation,"great, place, korean",VAD_Numeric,joyful,,,,4.0,1.0,1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 4.0 valence, 1.0 arousal and 1.0 dominance.","This Korean place is great, very relaxing and low-key."
110,gpt_4,conversation,"great, place, korean",VAD_Numeric,content,,,,4.0,0.0,2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 4.0 valence, 0.0 arousal and 2.5 dominance.","This is a great place for Korean food, very relaxing and comfortable."
111,gpt_4,conversation,"great, place, korean",VAD_Numeric,surprised,,,,1.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 1.0 valence, 2.5 arousal and -2.5 dominance.","This Korean place is great, but it's always so crowded and loud, it feels a bit overwhelming."
112,gpt_4,conversation,"great, place, korean",VAD_Numeric,excited,,,,2.5,4.0,1.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 2.5 valence, 4.0 arousal and 1.0 dominance.","This Korean place is great, but it's always so packed and loud, it feels a bit overwhelming."
113,gpt_4,conversation,"great, place, korean",VAD_Numeric,impressed,,,,1.0,1.0,-4.0,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 1.0 valence, 1.0 arousal and -4.0 dominance.","This Korean place is great, isnt it? I always feel so overwhelmed by all the choices!"
114,gpt_4,conversation,"great, place, korean",VAD_Numeric,proud,,,,4.0,1.0,2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have 4.0 valence, 1.0 arousal and 2.5 dominance.","This is a great place for Korean food, very relaxing and quite nice."
115,gpt_4,conversation,"great, place, korean",VAD_Numeric,anxious,,,,-1.0,2.5,-2.5,,"Now, you are a person conversing with another person. Speak a line of natural dialogue based on the following keywords. Just add connective words and do not add any new information to the output sentence.

'great', 'place', 'korean'

The response should have -1.0 valence, 2.5 arousal and -2.5 dominance.","I heard that Korean place we went to last time has really gone downhill, which is such a disappointment."
