,Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
0,gpt_4,conversation,"morning, cat, wake",Emotion,grateful,,,,,,,,,
1,gpt_4,conversation,"morning, cat, wake",Emotion,joyful,,,,,,,,,
2,gpt_4,conversation,"morning, cat, wake",Emotion,content,,,,,,,,,
3,gpt_4,conversation,"morning, cat, wake",Emotion,surprised,,,,,,,,,
4,gpt_4,conversation,"morning, cat, wake",Emotion,excited,,,,,,,,,
5,gpt_4,conversation,"morning, cat, wake",Emotion,impressed,,,,,,,,,
6,gpt_4,conversation,"morning, cat, wake",Emotion,proud,,,,,,,,,
7,gpt_4,conversation,"morning, cat, wake",Emotion,anxious,,,,,,,,,
8,gpt_4,conversation,"morning, cat, wake",Emotion,afraid,,,,,,,,,
9,gpt_4,conversation,"morning, cat, wake",Emotion,terrified,,,,,,,,,
10,gpt_4,conversation,"morning, cat, wake",Emotion,annoyed,,,,,,,,,
11,gpt_4,conversation,"morning, cat, wake",Emotion,angry,,,,,,,,,
12,gpt_4,conversation,"morning, cat, wake",Emotion,furious,,,,,,,,,
13,gpt_4,conversation,"morning, cat, wake",Emotion,sad,,,,,,,,,
14,gpt_4,conversation,"morning, cat, wake",Emotion,devastated,,,,,,,,,
15,gpt_4,conversation,"morning, cat, wake",Emotion,ashamed,,,,,,,,,
16,gpt_4,conversation,"morning, cat, wake",Emotion,embarrassed,,,,,,,,,
17,gpt_4,conversation,"morning, cat, wake",Emotion,guilty,,,,,,,,,
18,gpt_4,conversation,"morning, cat, wake",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
19,gpt_4,conversation,"morning, cat, wake",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
20,gpt_4,conversation,"morning, cat, wake",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
21,gpt_4,conversation,"morning, cat, wake",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
22,gpt_4,conversation,"morning, cat, wake",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
23,gpt_4,conversation,"morning, cat, wake",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
24,gpt_4,conversation,"morning, cat, wake",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
25,gpt_4,conversation,"morning, cat, wake",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
26,gpt_4,conversation,"morning, cat, wake",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
27,gpt_4,conversation,"morning, cat, wake",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
28,gpt_4,conversation,"morning, cat, wake",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
29,gpt_4,conversation,"morning, cat, wake",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
30,gpt_4,conversation,"morning, cat, wake",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
31,gpt_4,conversation,"morning, cat, wake",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
32,gpt_4,conversation,"morning, cat, wake",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
33,gpt_4,conversation,"morning, cat, wake",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
34,gpt_4,conversation,"morning, cat, wake",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
