git ,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
0,0,0,0,gpt_4,conversation,"morning, cat, wake",Emotion,grateful,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word grateful in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: grateful
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I love it when my cat wakes me up every morning!
1,1,1,1,gpt_4,conversation,"morning, cat, wake",Emotion,joyful,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word joyful in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: joyful
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always wakes me up in the morning
2,2,2,2,gpt_4,conversation,"morning, cat, wake",Emotion,content,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word content in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: content
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I love it when my cat wakes me up in the moring
3,3,3,3,gpt_4,conversation,"morning, cat, wake",Emotion,surprised,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word surprised in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: surprised
Keywords: 'morning', 'cat', 'wake'
Dialogue:","My cat always seems to wake me up in the morning! """
4,4,4,4,gpt_4,conversation,"morning, cat, wake",Emotion,excited,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word excited in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: excited
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I love taking a trip to the island to relax
5,5,5,5,gpt_4,conversation,"morning, cat, wake",Emotion,impressed,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word impressed in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: impressed
Keywords: 'morning', 'cat', 'wake'
Dialogue:","My cat always wakes me up in the moring!"""
6,6,6,6,gpt_4,conversation,"morning, cat, wake",Emotion,proud,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word proud in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: proud
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always manages to wake me up every moring
7,7,7,7,gpt_4,conversation,"morning, cat, wake",Emotion,anxious,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word anxious in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: anxious
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always seems to wake me up in the morning
8,8,8,8,gpt_4,conversation,"morning, cat, wake",Emotion,afraid,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word afraid in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: afraid
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always wake me up every morning
9,9,9,9,gpt_4,conversation,"morning, cat, wake",Emotion,terrified,,,,,,,,"You are engaging in a conversation with a human. Respond to the following line of dialogue based on the given emotion and the following keywords.
Just add connective words and do not add any new information to the output sentence. The response should be exactly one line with nothing else other than the responding dialogue.""
Do not use the word terrified in the response.

For example: 

Emotion: Proud
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Sad
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Now, respond to the following:
Emotion: terrified
Keywords: 'morning', 'cat', 'wake'
Dialogue:",My cat always wakes me up in the morining! 
