Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
gpt_4,conversation,"morning, cat, wake",Emotion,grateful,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,joyful,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,content,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,surprised,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,excited,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,impressed,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,proud,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,anxious,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,afraid,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,terrified,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,annoyed,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,angry,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,furious,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,sad,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,devastated,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,ashamed,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,embarrassed,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",Emotion,guilty,,,,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,grateful,2,0,-2,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,joyful,4,1,1,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,content,4,0,4,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,surprised,1,2,-2,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,excited,2,4,1,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,impressed,1,1,-4,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,proud,4,1,2,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,anxious,-1,2,-2,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,afraid,-5,2,-4,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,terrified,-5,4,-4,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,annoyed,-2,0,-1,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,angry,-5,2,0,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,furious,-4,4,1,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,sad,-4,-2,-4,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,devastated,-5,1,-2,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,ashamed,-3,-1,-4,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,embarrassed,-4,2,-2,,,,,,
gpt_4,conversation,"morning, cat, wake",VAD_Numeric,guilty,-4,0,-4,,,,,,
gpt_4,conversation,"morning, cat, wake",Emojis,grateful,,,,,,,😊,,
gpt_4,conversation,"morning, cat, wake",Emojis,joyful,,,,,,,😁,,
gpt_4,conversation,"morning, cat, wake",Emojis,content,,,,,,,😌,,
gpt_4,conversation,"morning, cat, wake",Emojis,surprised,,,,,,,😯,,
gpt_4,conversation,"morning, cat, wake",Emojis,excited,,,,,,,😃,,
gpt_4,conversation,"morning, cat, wake",Emojis,impressed,,,,,,,🙂,,
gpt_4,conversation,"morning, cat, wake",Emojis,proud,,,,,,,🤩,,
gpt_4,conversation,"morning, cat, wake",Emojis,anxious,,,,,,,😃,,
gpt_4,conversation,"morning, cat, wake",Emojis,afraid,,,,,,,😨,,
gpt_4,conversation,"morning, cat, wake",Emojis,terrified,,,,,,,😱,,
gpt_4,conversation,"morning, cat, wake",Emojis,annoyed,,,,,,,😒,,
gpt_4,conversation,"morning, cat, wake",Emojis,angry,,,,,,,😡,,
gpt_4,conversation,"morning, cat, wake",Emojis,furious,,,,,,,🤬,,
gpt_4,conversation,"morning, cat, wake",Emojis,sad,,,,,,,🙁,,
gpt_4,conversation,"morning, cat, wake",Emojis,devastated,,,,,,,😭,,
gpt_4,conversation,"morning, cat, wake",Emojis,ashamed,,,,,,,😳,,
gpt_4,conversation,"morning, cat, wake",Emojis,embarrassed,,,,,,,😥,,
gpt_4,conversation,"morning, cat, wake",Emojis,guilty,,,,,,,😬,,
gpt_4,conversation,"great, place, korean",Emotion,grateful,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,joyful,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,content,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,surprised,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,excited,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,impressed,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,proud,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,anxious,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,afraid,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,terrified,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,annoyed,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,angry,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,furious,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,sad,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,devastated,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,ashamed,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,embarrassed,,,,,,,,,
gpt_4,conversation,"great, place, korean",Emotion,guilty,,,,,,,,,
gpt_4,conversation,"great, place, korean",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,grateful,2,0,-2,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,joyful,4,1,1,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,content,4,0,2,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,surprised,1,2,-2,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,excited,2,4,1,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,impressed,1,1,-4,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,proud,4,1,2,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,anxious,-1,2,-2,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,afraid,-5,2,-4,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,terrified,-5,4,-4,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,annoyed,-2,0,-1,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,angry,-5,2,0,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,furious,-4,4,1,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,sad,-4,-2,-4,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,devastated,-5,1,-2,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,ashamed,-3,-1,-4,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,embarrassed,-4,2,-2,,,,,,
gpt_4,conversation,"great, place, korean",VAD_Numeric,guilty,-4,0,-4,,,,,,
gpt_4,conversation,"great, place, korean",Emojis,grateful,,,,,,,😊,,
gpt_4,conversation,"great, place, korean",Emojis,joyful,,,,,,,😁,,
gpt_4,conversation,"great, place, korean",Emojis,content,,,,,,,😌,,
gpt_4,conversation,"great, place, korean",Emojis,surprised,,,,,,,😯,,
gpt_4,conversation,"great, place, korean",Emojis,excited,,,,,,,😃,,
gpt_4,conversation,"great, place, korean",Emojis,impressed,,,,,,,🙂,,
gpt_4,conversation,"great, place, korean",Emojis,proud,,,,,,,🤩,,
gpt_4,conversation,"great, place, korean",Emojis,anxious,,,,,,,😃,,
gpt_4,conversation,"great, place, korean",Emojis,afraid,,,,,,,😨,,
gpt_4,conversation,"great, place, korean",Emojis,terrified,,,,,,,😱,,
gpt_4,conversation,"great, place, korean",Emojis,annoyed,,,,,,,😒,,
gpt_4,conversation,"great, place, korean",Emojis,angry,,,,,,,😡,,
gpt_4,conversation,"great, place, korean",Emojis,furious,,,,,,,🤬,,
gpt_4,conversation,"great, place, korean",Emojis,sad,,,,,,,🙁,,
gpt_4,conversation,"great, place, korean",Emojis,devastated,,,,,,,😭,,
gpt_4,conversation,"great, place, korean",Emojis,ashamed,,,,,,,😳,,
